UserA,FingerprintA,UserB,FingerprintB,Score,Type
0,0,0,0,1047,I
0,0,0,1,15,H
0,0,0,2,31,H
0,1,0,0,15,H
0,1,0,1,1103,I
0,1,0,2,19,H
0,2,0,0,56,H
0,2,0,1,18,H
0,2,0,2,1188,I
0,0,1,0,15,L
0,0,1,1,16,L
0,0,1,2,30,L
0,1,1,0,9,L
0,1,1,1,14,L
0,1,1,2,15,L
0,2,1,0,12,L
0,2,1,1,18,L
0,2,1,2,33,L
0,0,2,0,16,L
0,0,2,1,18,L
0,0,2,2,19,L
0,1,2,0,17,L
0,1,2,1,14,L
0,1,2,2,11,L
0,2,2,0,22,L
0,2,2,1,24,L
0,2,2,2,26,L
0,0,3,0,17,L
0,0,3,1,18,L
0,0,3,2,20,L
0,1,3,0,15,L
0,1,3,1,11,L
0,1,3,2,14,L
0,2,3,0,18,L
0,2,3,1,17,L
0,2,3,2,16,L
1,0,0,0,15,L
1,0,0,1,9,L
1,0,0,2,12,L
1,1,0,0,16,L
1,1,0,1,13,L
1,1,0,2,17,L
1,2,0,0,28,L
1,2,0,1,15,L
1,2,0,2,34,L
1,0,1,0,700,I
1,0,1,1,10,H
1,0,1,2,20,H
1,1,1,0,10,H
1,1,1,1,850,I
1,1,1,2,18,H
1,2,1,0,20,H
1,2,1,1,18,H
1,2,1,2,913,I
1,0,2,0,14,L
1,0,2,1,11,L
1,0,2,2,12,L
1,1,2,0,11,L
1,1,2,1,12,L
1,1,2,2,18,L
1,2,2,0,17,L
1,2,2,1,26,L
1,2,2,2,25,L
1,0,3,0,10,L
1,0,3,1,10,L
1,0,3,2,10,L
1,1,3,0,13,L
1,1,3,1,9,L
1,1,3,2,16,L
1,2,3,0,21,L
1,2,3,1,17,L
1,2,3,2,20,L
2,0,0,0,18,L
2,0,0,1,17,L
2,0,0,2,22,L
2,1,0,0,19,L
2,1,0,1,14,L
2,1,0,2,22,L
2,2,0,0,19,L
2,2,0,1,11,L
2,2,0,2,26,L
2,0,1,0,16,L
2,0,1,1,11,L
2,0,1,2,17,L
2,1,1,0,13,L
2,1,1,1,12,L
2,1,1,2,24,L
2,2,1,0,15,L
2,2,1,1,18,L
2,2,1,2,25,L
2,0,2,0,1325,I
2,0,2,1,15,H
2,0,2,2,20,H
2,1,2,0,16,H
2,1,2,1,1163,I
2,1,2,2,20,H
2,2,2,0,20,H
2,2,2,1,20,H
2,2,2,2,1262,I
2,0,3,0,24,L
2,0,3,1,10,L
2,0,3,2,21,L
2,1,3,0,14,L
2,1,3,1,16,L
2,1,3,2,13,L
2,2,3,0,18,L
2,2,3,1,19,L
2,2,3,2,17,L
3,0,0,0,17,L
3,0,0,1,15,L
3,0,0,2,16,L
3,1,0,0,20,L
3,1,0,1,11,L
3,1,0,2,17,L
3,2,0,0,20,L
3,2,0,1,14,L
3,2,0,2,16,L
3,0,1,0,10,L
3,0,1,1,13,L
3,0,1,2,21,L
3,1,1,0,10,L
3,1,1,1,9,L
3,1,1,2,17,L
3,2,1,0,10,L
3,2,1,1,14,L
3,2,1,2,20,L
3,0,2,0,24,L
3,0,2,1,14,L
3,0,2,2,17,L
3,1,2,0,10,L
3,1,2,1,16,L
3,1,2,2,18,L
3,2,2,0,21,L
3,2,2,1,13,L
3,2,2,2,17,L
3,0,3,0,1047,I
3,0,3,1,25,H
3,0,3,2,22,H
3,1,3,0,25,H
3,1,3,1,766,I
3,1,3,2,20,H
3,2,3,0,22,H
3,2,3,1,18,H
3,2,3,2,1013,I
